Tool_Wear,Depth_of_Cut_ap,Cutting_Speed_vc,Feed_Rate_f,Surface_Roughness_Ra,Fx,Fy,Fz,F
0.0,0.8,310,0.1,0.918,224.2,77.48,227.5,328.6716301
0.0,0.8,310,0.07,0.653,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.603,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.615,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.607,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.681,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.753,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.13,0.924,289.6,96.77,222.1,377.5725134
0.0,0.8,310,0.13,0.93,289.6,96.77,222.1,377.5725134
0.0,0.8,310,0.13,0.925,289.6,96.77,222.1,377.5725134
0.0,0.8,310,0.13,0.932,289.6,96.77,222.1,377.5725134
0.0,0.8,310,0.13,0.924,289.6,96.77,222.1,377.5725134
0.0,0.8,310,0.13,0.936,289.6,96.77,222.1,377.5725134
0.0,0.8,350,0.07,0.569,172.4,59.8,126.3,221.9222612
0.0,0.8,350,0.07,0.581,172.4,59.8,126.3,221.9222612
0.0,0.8,350,0.07,0.584,172.4,59.8,126.3,221.9222612
0.0,0.8,350,0.07,0.579,172.4,59.8,126.3,221.9222612
0.0,0.8,350,0.07,0.566,172.4,59.8,126.3,221.9222612
0.0,0.8,350,0.07,0.539,172.4,59.8,126.3,221.9222612
0.0,0.8,350,0.13,0.829,288.5,97.54,218.6,374.8763284
0.0,0.8,350,0.13,0.892,288.5,97.54,218.6,374.8763284
0.0,0.8,350,0.13,0.86,288.5,97.54,218.6,374.8763284
0.0,0.8,350,0.13,0.874,288.5,97.54,218.6,374.8763284
0.0,0.8,350,0.13,0.874,288.5,97.54,218.6,374.8763284
0.0,0.8,350,0.13,0.894,288.5,97.54,218.6,374.8763284
0.0,0.8,350,0.1,0.685,231.4,78.87,224.3,331.7784304
0.0,0.8,350,0.1,0.644,231.4,78.87,224.3,331.7784304
0.0,0.8,350,0.1,0.692,231.4,78.87,224.3,331.7784304
0.0,0.8,350,0.1,0.66,231.4,78.87,224.3,331.7784304
0.0,0.8,350,0.1,0.698,231.4,78.87,224.3,331.7784304
0.0,0.8,350,0.1,0.698,231.4,78.87,224.3,331.7784304
0.0,0.8,390,0.07,0.489,175.1,62.81,125.2,224.2323485
0.0,0.8,390,0.07,0.465,175.1,62.81,125.2,224.2323485
0.0,0.8,390,0.07,0.484,175.1,62.81,125.2,224.2323485
0.0,0.8,390,0.07,0.489,175.1,62.81,125.2,224.2323485
0.0,0.8,390,0.07,0.439,175.1,62.81,125.2,224.2323485
0.0,0.8,390,0.07,0.439,175.1,62.81,125.2,224.2323485
0.0,0.8,390,0.13,0.848,288.6,98.16,213.6,372.2234619
0.0,0.8,390,0.13,0.823,288.6,98.16,213.6,372.2234619
0.0,0.8,390,0.13,0.839,288.6,98.16,213.6,372.2234619
0.0,0.8,390,0.13,0.838,288.6,98.16,213.6,372.2234619
0.0,0.8,390,0.13,0.821,288.6,98.16,213.6,372.2234619
0.0,0.8,390,0.13,0.843,288.6,98.16,213.6,372.2234619
0.0,0.8,390,0.1,0.538,236.9,77.17,223.4,334.6406713
0.0,0.8,390,0.1,0.597,236.9,77.17,223.4,334.6406713
0.0,0.8,390,0.1,0.61,236.9,77.17,223.4,334.6406713
0.0,0.8,390,0.1,0.569,236.9,77.17,223.4,334.6406713
0.0,0.8,390,0.1,0.592,236.9,77.17,223.4,334.6406713
0.0,0.8,390,0.1,0.579,236.9,77.17,223.4,334.6406713
0.0,0.25,350,0.13,1.05,80.23,61.8,28.33,105.1602672
0.0,0.25,350,0.13,1.088,80.23,61.8,28.33,105.1602672
0.0,0.25,350,0.13,1.056,80.23,61.8,28.33,105.1602672
0.0,0.25,350,0.13,1.059,80.23,61.8,28.33,105.1602672
0.0,0.25,350,0.13,1.062,80.23,61.8,28.33,105.1602672
0.0,0.25,350,0.13,1.037,80.23,61.8,28.33,105.1602672
0.0,0.25,350,0.09,0.441,63.37,52.39,27.34,86.64839641
0.0,0.25,350,0.09,0.319,63.37,52.39,27.34,86.64839641
0.0,0.25,350,0.09,0.377,63.37,52.39,27.34,86.64839641
0.0,0.25,350,0.09,0.331,63.37,52.39,27.34,86.64839641
0.0,0.25,350,0.09,0.333,63.37,52.39,27.34,86.64839641
0.0,0.25,350,0.09,0.37,63.37,52.39,27.34,86.64839641
0.0,0.25,350,0.11,0.647,70.71,56.16,26.94,94.23170008
0.0,0.25,350,0.11,0.527,70.71,56.16,26.94,94.23170008
0.0,0.25,350,0.11,0.506,70.71,56.16,26.94,94.23170008
0.0,0.25,350,0.11,0.534,70.71,56.16,26.94,94.23170008
0.0,0.25,350,0.11,0.504,70.71,56.16,26.94,94.23170008
0.0,0.25,350,0.11,0.513,70.71,56.16,26.94,94.23170008
0.0,0.25,350,0.13,0.902,79.98,61.15,26.48,104.1024174
0.0,0.25,350,0.13,0.863,79.98,61.15,26.48,104.1024174
0.0,0.25,350,0.13,0.972,79.98,61.15,26.48,104.1024174
0.0,0.25,350,0.13,0.85,79.98,61.15,26.48,104.1024174
0.0,0.25,350,0.13,0.85,79.98,61.15,26.48,104.1024174
0.0,0.25,350,0.13,0.845,79.98,61.15,26.48,104.1024174
0.0,0.25,350,0.07,0.236,51.5,45.96,25.9,73.72504052
0.0,0.25,350,0.07,0.234,51.5,45.96,25.9,73.72504052
0.0,0.25,350,0.07,0.236,51.5,45.96,25.9,73.72504052
0.0,0.25,350,0.07,0.273,51.5,45.96,25.9,73.72504052
0.0,0.25,350,0.07,0.238,51.5,45.96,25.9,73.72504052
0.0,0.25,350,0.07,0.237,51.5,45.96,25.9,73.72504052
0.0,0.25,350,0.09,0.38,63.52,49.88,25.1,84.57431525
0.0,0.25,350,0.09,0.313,63.52,49.88,25.1,84.57431525
0.0,0.25,350,0.09,0.312,63.52,49.88,25.1,84.57431525
