Tool_Wear,Depth_of_Cut_ap,Cutting_Speed_vc,Feed_Rate_f,Surface_Roughness_Ra,Resultant Force
0.3,0.25,350,0.07,0.434,245.2786703
0.3,0.25,350,0.07,0.524,245.2786703
0.3,0.25,350,0.07,0.539,245.2786703
0.3,0.25,350,0.07,0.573,245.2786703
0.3,0.25,350,0.09,0.65,240.074985
0.3,0.25,350,0.09,0.633,240.074985
0.3,0.25,350,0.09,0.68,240.074985
0.3,0.25,350,0.09,0.704,240.074985
0.3,0.25,350,0.09,0.634,240.074985
0.3,0.25,350,0.09,0.613,240.074985
0.3,0.25,350,0.07,0.522,231.8135512
0.3,0.25,350,0.07,0.617,231.8135512
0.3,0.25,350,0.07,0.65,231.8135512
0.3,0.25,350,0.07,0.647,231.8135512
0.3,0.25,350,0.07,0.695,231.8135512
0.3,0.25,350,0.07,0.734,231.8135512
0.3,0.25,350,0.13,0.998,247.3428166
0.3,0.25,350,0.13,0.956,247.3428166
0.3,0.25,350,0.13,0.992,247.3428166
0.3,0.25,350,0.13,0.99,247.3428166
0.3,0.25,350,0.13,0.987,247.3428166
0.3,0.25,350,0.13,0.94,247.3428166
0.3,0.25,350,0.11,0.649,238.9341384
0.3,0.25,350,0.11,0.649,238.9341384
0.3,0.25,350,0.11,0.634,238.9341384
0.3,0.25,350,0.11,0.623,238.9341384
0.3,0.25,350,0.11,0.667,238.9341384
0.3,0.25,350,0.11,0.708,238.9341384
0.3,0.25,350,0.11,0.604,234.1307594
0.3,0.25,350,0.11,0.564,234.1307594
0.3,0.25,350,0.11,0.58,234.1307594
0.3,0.25,350,0.11,0.606,234.1307594
0.3,0.25,350,0.11,0.583,234.1307594
0.3,0.25,350,0.11,0.58,234.1307594
0.3,0.25,350,0.09,0.458,220.3674831
0.3,0.25,350,0.09,0.466,220.3674831
0.3,0.25,350,0.09,0.468,220.3674831
0.3,0.25,350,0.09,0.476,220.3674831
0.3,0.25,350,0.09,0.484,220.3674831
0.3,0.25,350,0.09,0.473,220.3674831
0.3,0.25,350,0.13,0.838,238.5123401
0.3,0.25,350,0.13,0.824,238.5123401
0.3,0.25,350,0.13,0.854,238.5123401
0.3,0.25,350,0.13,0.776,238.5123401
0.3,0.25,350,0.13,0.767,238.5123401
0.3,0.25,350,0.13,0.814,238.5123401
0.3,0.5,350,0.11,0.66,384.2596778
0.3,0.5,350,0.11,0.663,384.2596778
0.3,0.5,350,0.11,0.646,384.2596778
0.3,0.5,350,0.11,0.587,384.2596778
0.3,0.5,350,0.11,0.667,384.2596778
0.3,0.5,350,0.11,0.575,384.2596778
0.3,0.5,350,0.07,0.423,344.1558659
0.3,0.5,350,0.07,0.458,344.1558659
0.3,0.5,350,0.07,0.42,344.1558659
